,code,desc,fine,shortDesc
0,P001,PARK ABREAST OF ANOTHER VEHICLE,$50.0,ABREAST
1,P002,STAND OR PARK IN ALLEY,$30.0,ALLEY IN
2,P003,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,$30.0,RESIDENTIAL PARKING
3,P004,PARK VEHICLE IN FRONT OF A BARRICADE,$20.0,BARRICADE IN FRT OF
4,P005,PARK ON OR UNDER AN ELEVATED STRUCTURE,$50.0,ON BRIDGE/IN TUNNEL
5,P006,PARK ON BRIDLE PATH (PARK AREA),$20.0,BRIDLE PATH ON
6,P007,PARK IN A BUS ZONE,$100.0,PARK IN BUS ZONE
7,P008,IN VIOLATION OF PEDESTRIAN CONTROL REGULATION,$5.0,PEDSTR CONTROL REGUL
8,P010,OBSTRUCTING CROSSWALK,$50.0,CROSSWALKOBSTRUCTNG
9,P011,PARK MORE THAN 12 INCHES FROM CURB,$20.0,CURB MORE THAN 1 FT
10,P012,DISOBEYING OFFICIAL SIGN,$30.0,DISOBYNG OFFICL SIGN
11,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,$20.0,DRIVEWAY WITHIN 5 FT
12,P014,EMERGENCY NO PARKING,$50.0,EMERGENCY NO PARKING
13,P015,OBSTRUCTING ENTRANCE OF PKG GARAGE DOOR OR GATE,$20.0,ENTRANCE OBSTRUCTIN
14,P016,OPP OR BESIDE CONTRUCTION SITE OBSTRUCTING TRAFFIC,$50.0,EXCAVATION OPPOSITE
15,P017,EXCESSIVE IDLING.,$500.0,EXCESSIVE IDLING
16,P018,OBSTRUCTING FIRE ESCAPE,$50.0,FIRE ESCAPEOBSTCTNG
17,P019,PARK WITHIN 20 FEET OF A FIREHOUSE ENTRANCE,$50.0,PK W/IN 20FT STATION
18,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,$50.0,FIRE HYDRANT 10FT
19,P022,PARK ON TAXICAB STAND,$20.0,TAXICAB STAND ON
20,P023,OBSTRUCT AN INTERSECTION,$50.0,INTERSECTIONOBSTRTN
21,P024,PARK LESS THAN 25 FEET FROM AN INTERSECTION,$20.0,INTERSECTIONLT 25FT
22,P025,PARK LESS THAN 40 FEET FROM AN INTERSECTION,$20.0,INTERSECTN LT 40FT
23,P026,PARK ON A LAWN,$20.0,LAWN ON
24,P029,PARK WITH LEFT WHEEL TO THE CURB,$20.0,LEFT WHEEL TO CURB
25,P031,UNAUTHORIZED VEHICLE IN LOADING ZONE,$100.0,LOADING ZONE
26,P032,OVERSIZED COMM VEHICLE PARKED AT A METER,$25.0,OVRSZD VEH AT METER
27,P033,DEPOSIT PAYMENT TO EXTEND TIME BEYOND METER LIMIT,$15.0,MTR PAY >TIME LMT
28,P034,FAIL TO DEPOSIT COIN IN METER,$15.0,METER FAIL DEP COIN
29,P035,NOT PARKED IN A METER SPACE,$25.0,NOT PKD IN MTR SPACE
30,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,$25.0,OFFICIAL SPACE IN
31,P037,PARK OVERTIME AT A METER,$25.0,OVERTIME AT METER
32,P039,PARK AT EXPIRED METER,$25.0,EXPIRED METER
33,P040,FAIL TO PARK PARALLEL,$20.0,PARALLEL FAIL PARK
34,P042,PARK ON PUBLIC SPACE,$20.0,PUBLIC SPACE
35,P043,PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET,$25.0,REDUCE RDWAY LT10 FT
36,P045,PARK IN RESERVED EMBASSY SPACE,$20.0,RESERVED SPACE EMBSY
37,P046,PARK IN SCHOOL ZONE,$25.0,SCHOOL ZONE
38,P047,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,$100.0,SIDEWALK ON
39,P048,PARK ON SIGHTSEEING STAND,$20.0,SIGHTSEEING STAND ON
40,P050,PARKED WITHIN 25 FEET OF A STOP SIGN,$50.0,STOP SIGN IN 25 FT
41,P053,PARKED LESS THAN 3 FEET FROM ANOTHER VEHICLE,$20.0,VEHICLE/3FT/VEHICLE
42,P054,PARKED ON DESIGNATED VENDOR AREA,$20.0,VENDOR STAND ON
43,P055,NO PARKING ANYTIME,$30.0,NO PARKING ANYTIME
44,P056,NO PARKING 7 AM TO 6:30 PM,$30.0,NO PKING 7AM-630PM
45,P057,NO PARKING SPECIFIC HOURS,$30.0,NO PARKING SPEC HRS
46,P058,NO STANDING COMMERCIAL VEHICLE,$500.0,NO STAND COMM VEHICL
47,P059,PARK IN A FIRE LANE,$50.0,FIRE LANE OBSTRUCT
48,P063,PARK FOR PURPOSE OF VEHICLE SALE OR REPAIR,$20.0,ADVERTISING USE VEH
49,P072,FAIL TO LOCK AND REMOVE KEY FROM IGNITION WHEN PKD,$50.0,IGNITION FAIL/LOCK
50,P077,MOTOR RUNNING UNATTENDED,$50.0,MOTOR RUN UNATTENDED
51,P082,FAIL TO CHANGE ADDRESS OF VEHICLE REGISTRATION,$10.0,REG FAIL TO CHG ADDR
52,P085,DEFECTIVE SPEEDOMETER.,$25.0,SPEEDOMETER DEFECTIV
53,P086,NO SPEEDOMETER.,$25.0,SPEEDOMETER NONE
54,P087,MACHINE RESTRCTD HRS,$10.0,MACHINE RESTRCTD HRS
55,P090,IMPROPERLY DISPLAYED TAGS,$10.0,TAGS IMPROPER
56,P093,OBSTRUCTED TAGS.,$50.0,TAGS OBSTRUCTED
57,P095,DRIVE TRUCK ON RESTRICTED ROUTE,$5.0,TRUCK ROUTE VIOLATIO
58,P097,PARKING MISC,$5.0,PARKING MISC
59,P100,GLASS LEFT IN THE STREET,$25.0,GLASS LEFT IN ST
60,P101,INCORRECT BUMPER ON A VENDING VEHICLE,$25.0,BUMPER BAD/VEND VEHI
61,P104,FAIL TO DISPLAY CURRENT DC VEHICLE TAGS,$100.0,FAIL DISP 2 DC TAGS
62,P106,DEFECTIVE MUFFLER.,$15.0,MUFFLER DEFECTIVE.
63,P107,EXCESSIVE SMOKE.,$15.0,SMOKE EXCESSIVE
64,P108,LOW HORN VOLUME OR NO NOISE FROM HORN,$10.0,HORN LOW OR NONE
65,P109,UNSAFE MECHANICAL CONDITION,$25.0,MECANICL COND UNSAFE
66,P110,FAIL TO PROPERLY DISPLAY INSPECTION STICKER SIGN,$25.0,INSPECT STICKER SIGN
67,P111,EXPIRED INSPECTION REJECTION STICKER,$50.0,EXP INSP REJECT STIK
68,P112,FAIL TO REPORT FOR INSPECTION.,$50.0,INSPECT FAIL TO REPT
69,P113,FAIL TO DISPLAY CURRENT INSPECTION STICKER,$50.0,INSPCT CURR DISP STK
70,P115,TAXICAB FAIL TO USE CRUISING LIGHTS,$5.0,TAXI CRUISING LIGHT
71,P116,DIRTY TAXICAB.,$10.0,TAXI DIRTY
72,P117,TAXICAB FAIL TO UPDATE CHANGE OF ADDRESS,$5.0,TAXI ID NO CHG ADDR
73,P118,TAXICAB FAIL TO SHOW ID,$25.0,TAXI ID FAIL TO SHOW
74,P119,TAXICAB FAIL TO REMOVE ID,$10.0,TAXI ID FAIL REMOVE
75,P120,TAXICAB LOITERING.,$25.0,TAXI LOITERING
76,P121,TAXICAB NO MANIFEST,$10.0,TAXI MANIFEST NONE
77,P122,DRIVER MORE THAN FIVE FEET FROM TAXI,$25.0,DRIVER 5FT FROM TAXI
78,P123,TAXICAB PARKED OFF TAXI STAND,$25.0,TAXI PARKED OFF STND
79,P124,TAXICAB FAIL TO FILE OR IMPROPER REPORT,$25.0,TAXI PROP NO REPORT
80,P125,TAXICAB SOLICITING FARE,$25.0,TAXI SOLICITING FARE
81,P126,TAXICAB NO ZONE RATE CARD,$5.0,TAXI NO ZONE RATE CD
82,P127,TAXICAB FAIL TO PULL TO CURB,$50.0,TAXI NO PULL TO CURB
83,P128,TAXICAB NO INSURANCE STICKER,$5.0,TAXI NO INS STICKER
84,P129,TAXICAB REFUSE TO HAUL PASSENGERS,$10.0,TAXI NO HAUL PASSENG
85,P130,TAXICAB UNLICENSED DC RESIDENT,$50.0,TAXI UNLIC DC RES
86,P133,TAXICAB NOT USING OFF DUTY SIGN,$5.0,SIGN NO USE OFF DUTY
87,P134,TAXICAB IMPROPER USE OF OFF DUTY SIGN,$100.0,SIGN IMP USE OFF DTY
88,P135,TAXICAB IMPROPER USE OF ON CALL SIGN,$100.0,SIGN IMP USE ON CALL
89,P136,TAXICAB IMPROPER USE OF OUT OF SERVICE SIGN,$5.0,SIGN IMP USE OUT SER
90,P137,TAXICAB DISPLAY UNAUTHORIZED SIGN,$5.0,SIGN UNAUTHIZED SIGN
91,P140,TORN FENDERS,$25.0,FENDERS TORN
92,P145,LENGTH OVER 40 FEET / 55 FEET,$250.0,LENGTH OVR 40'/55'
93,P146,USE OF HIGH BEAM LIGHTS,$5.0,LIGHTS USE HIGH BEAM
94,P147,USE OF IMPROPER LIGHTS,$5.0,LIGHTS IMPROPER
95,P148,NO REAR LIGHTS.,$5.0,LIGHTS NO REAR
96,P150,ONE RUNNING HEAD LIGHT,$5.0,LIGHTS ONE RUNNING
97,P151,LOADS NOT SECURED,$50.0,LOADS NOT SECURED
98,P152,NO REAR VIEW MIRROR,$15.0,MIRROR NO REAR VIEW
99,P153,NO OR DISCONNECTED MUFFLER,$25.0,MUFFLER NONE
100,P157,MAKING NON EMERGENCY REPAIRS ON ROADWAY,$100.0,REPAIRS ON ROADWAY
101,P158,UNSAFE TIRES,$25.0,TIRES UNSAFE
102,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,$100.0,STOP/STND IN AM RUSH
103,P160,FAILURE TO TRANSFER TITLE AS REQUIRED,$25.0,TITLE DC N/TRANSFER
104,P161,PARKING ON SNOW EMERGENCY ROUTE WHEN PROHIBITED,$250.0,SNOW REGULATION
105,P168,NO FRONT TAGS.,$50.0,NO TAGS FRONT.
106,P169,NO REAR TAGS.,$50.0,NO TAGS REAR
107,P170,FAILURE TO DISPLAY CURRENT TAGS,$100.0,FAIL DISP CURR TAGS
108,P172,FAILURE TO SECURE DC TAGS,$100.0,FAIL SECURE DC TAGS
109,P173,NO PARKING STREET CLEANING,$45.0,NO PKG STREET CLNING
110,P176,LOAD EXTENDS OVER FENDER,$5.0,LOAD EXTEND OVR FEND
111,P180,BICYCLE MT/VIOL/PUBL,$5.0,BICYCLE MT/VIOL/PUBL
112,P190,FAIL TO REGISTER APPORTIONABLE VEHICLE UNDER IRP,$500.0,FAILURE REG UNDR IRP
113,P191,FAIL TO OBTAIN IRP TRIP PERMIT,$500.0,FAIL OB IRP TRIP PMT
114,P192,EXCEED GROSS WEIGHT INDICATED ON IRP REGISTRATION,$500.0,EXCEED IRP REGIST GW
115,P193,FORGED TEMPORARY PARKING PLACARD,$300.0,FAKE TEMP PLACARD
116,P194,FORGED VISITOR PARKING PLACARD,$300.0,FAKE VISITOR PLACARD
117,P195,PROVIDE FALSE INFORMATION TO OBTAIN RPP PERMIT,$300.0,FALSE RPP APPL
118,P196,PROVIDE FALSE INFO TO OBTAIN TEMP PARKING PLACARD,$300.0,FALSE TEMP APPL
119,P197,PROVIDE FALSE INFO TO OBTAIN VISITOR PARKING PERM,$300.0,FALSE VISITOR APPL
120,P198,PARK WITHIN 20 FEET OF A BUS STOP OR ZONE,$50.0,BUS STOP IN 20' OF
121,P199,PARK IN A DESIGNATED ENTRANCE,$20.0,ENTRANCE DESIGNATED
122,P200,PARK TOO CLOSE APPROACHING INTERSECTION,$20.0,PARK APPROACH INTERS
123,P201,PARK IN A CURB LOADING ZONE,$10.0,LOAD PLATFORM CURB
124,P202,TAXICAB FAIL TO CHARGE PROPER FARE,$10.0,TAXI FAIL PROP FARE
125,P203,TAXICAB FAIL TO DISPLAY LICENSE,$100.0,TAXI FAIL DISP LIC
126,P204,TAXICAB FAIL TO DISPLAY RATE CARD,$10.0,TAXI FAIL DISP RATE
127,P205,TAXICAB FAIL TO EXHIBIT LICENSE,$100.0,TAXI FAIL EXHIB LIC
128,P206,TAXICAB DISPLAYING IMPROPER INSIGNIA,$50.0,TAXI INPROP INSIGNA
129,P207,TAXICAB FAIL TO REPORT AN ACCIDENT,$25.0,TAXI FAIL RPT ACDENT
130,P208,TAXICAB FAKE LICENSE,$1000.0,TAXI FAKE LICENSE
131,P209,TAXICAB LOADING PASSENGERS IN A CROSSWALK,$10.0,TAXI LOAD PASS XWALK
132,P210,TAXICAB PARKED 100 FEET FROM STAND,$25.0,TAXI PARK 100' STAND
133,P211,TAXICAB REFUSE TO PAY FARE,$10.0,TAXI REFUSE PAY FARE
134,P212,TAXICAB FAIL TO HAVE DC TAXICAB COMMISSION LICENSE,$500.0,FAIL HAVE DCTC LICN
135,P213,METER BALL PARK EVENT DEPOSIT ADDITONAL PAYMENT,$30.0,MTR DEP ADD PAYMT
136,P214,ILLEGAL AT METER BALL PARK EVENT,$50.0,ILLEGAL AT METER BE
137,P215,METER BALL PARK EVENT FAIL TO DEPOSIT COIN,$50.0,MTR B FAIL DEP COIN
138,P216,FAIL TO DISPLAY MULTI SPACE RECEIPT  BALLPARKEVENT,$100.0,FAIL DISP MULTI RCPT
139,P217,OVERSIZED VEHICLE AT METER BALL PARK EVENT,$50.0,OVRSZD VEH METER BE
140,P218,OVERTIME BALL PARK EVENT,$50.0,OVERTIME BE
141,P232,TAXICAB FAIL TO DISPLAY PROPER INSIGNIA,$25.0,FAIL DISP PROP INSIG
142,P239,EXPIRED HANDICAP METER,$25.0,EXPIRED METER HANDCP
143,P250,FAIL TO SECURE TAGS IN THE DISTRICT OF COLUMBIA,$50.0,TAGS FAIL SEC IN DC
144,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,$100.0,NO STP/STND PM RUSH
145,P261,NO SNOW TIRES OR CHAINS,$10.0,NO SNO TIRES/CHAINS
146,P262,NO SNOW TIRES OR CHAINS,$10.0,SNO TIRE/CHAIN NONE
147,P269,NO STANDING ANYTIME,$50.0,NO STANDING ANYTIME
148,P270,NO STOPPING OR STANDING ANYTIME,$50.0,NO STOPING/STANDING
149,P271,NO STOPPING ANYTIME,$50.0,NO STOPPING
150,P276,MOVING A LOAD OVER EIGHT FEET WIDE,$25.0,LOAD OVR 8' WIDE MOV
151,P278,FAIL TO DISPLAY MULTI-SPACE METER RECEIPT PROPERLY,$50.0,FAIL DISP RCPT PROP
152,P279,OVERTIME PARKING IN A LOADING ZONE METER SPACE,$50.0,OT PKG LD ZNE MTR SP
153,P280,EXPIRATION TIME ON METER RECEIPT LAPSED,$25.0,EXPIRED METER RCPT
154,P281,FAIL TO DISPLAY A MULTISPACE METER RECEIPT,$25.0,FAIL DISP MULTI RCPT
155,P282,PARKED IN A RESERVED CAR SHARING SPACE,$100.0,PK CAR SHARE SPACE
156,P283,PARK GREATER THAN FIVE FEET FROM A CAB STAND,$5.0,PK GT 5' FR CAB STND
157,P284,EXPIRED MULTISPACE METER RECEIPT IN LOADING ZONE,$50.0,EXP MTR RCPT IN L/Z
158,P285,FAIL TO DISPLAY METER RECEIPT IN A LOADING ZONE,$50.0,FAIL DSP MTR RCPT LZ
159,P286,IMPROP DISPLAY MULTISPACE RCPT IN LOADING ZONE,$50.0,IMPR DISP RCPT IN LZ
160,P287,OVERTIME AT A MULTISPACE METER IN A LOADING ZONE,$50.0,OVERTIME IN MTR L/Z
161,P288,ILLEGAL AT METER,$25.0,ILLEGAL AT METER
162,P289,FAIL TO PROPERLY DISPLAY  MULTISPACE METER RECEIPT,$50.0,IMPROP DISPL MULTI R
163,P300,FAIL TO TURN WHEEL TO CURB.,$20.0,CURB FAIL TURN WHEEL
164,P301,PARK AT CURB IN LOADING ZONE,$50.0,CURB PARK IN LOADZNE
165,P302,GOVERNMENT VEHICLE PARKING ONLY,$25.0,GOVT VEHICLES ONLY
166,P303,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES,$250.0,RESVD RESID SP DISAB
167,P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP,$250.0,IND. W/ DISAB. ONLY
168,P305,PARK WITHIN 25 FEET OF A MAILBOX,$20.0,MAIL BOX  25' OF
169,P306,PARK ON MEDIAN ISLAND OR SAFETY ZONE,$100.0,MEDN ISLND SAFTZ ON
170,P307,PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY,$25.0,RESVD SPACE MOTRCYCL
171,P308,PARK WITHIN FIFTY FEET OF A RAILROAD CROSSING,$20.0,RR XING IN 50'
172,P309,FAIL TO DISPLAY RESIDENTIAL PARKING PERMIT,$15.0,RESID PK PMT NO DISP
173,P310,FAIL TO REMOVE EXPIRED RESIDENTIAL PARKING PERMIT,$15.0,RPP FAIL REM EXP STK
174,P311,PARK BETWEEN ISLAND OR SAFETY ZONE,$20.0,SFTY/ZNE/ISLAND BET
175,P312,PARK WITHIN TWENTY FIVE FEET FROM A YIELD SIGN,$20.0,YIELD SIGN 25 FT
176,P313,FAIL TO DISPLAY RECIPROCITY STICKER,$50.0,RECIPROCITY NO DISP
177,P314,FAIL TO PROPERLY AFFIX VALIDATION STICKERS,$50.0,FAIL PROP AFFIX STK
178,P315,ILLEGIBLE TAGS.,$50.0,TAGS ILLEGIBLE
179,P316,IMPROPER DISPLAY OF TAGS,$50.0,TAGS IMPROP DISPLAY
180,P318,PARK IN MEDIAN ISLAND OR SAFETY ZONE,$35.0,MEDIAN/ISLND/SFTZ IN
181,P319,PARK IN BUS STOP OR ZONE DURING RUSH HOUR,$50.0,BUS STOP ZNE RUSH HR
182,P320,PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK,$50.0,PK DWY ALLEY OB SDWK
183,P321,FAIL TO SET EMERGENCY BRAKE,$50.0,EMERG BRAKE NOT SET
184,P322,PARK OVERTIME IN TIMED ZONE,$25.0,OVERTIME TIME ZONE
185,P325,TAXICAB FAIL TO HAVE INSURANCE STICKER,$5.0,TAXI NO INSURE STICK
186,P326,MOTOR CARRIER DRIVER VIOLATION OUT OF SERVICE,$100.0,OUT OF SERVICE- DRVR
187,P327,MOTOR CARRIER VEHICLE VIOLATION OUT OF SERVICE,$100.0,OUT OF SERVICE -VEHI
188,P328,MOTOR CARRIER HAZMAT VIOLATION OUT OF SERVICE,$100.0,OUT OF SERVICE- HZRD
189,P329,MOTOR CARRIER VIOLATION OUT OF SERVICE,$100.0,OUT OF SERVICE- OTHR
190,P330,PERMIT UNLICENSED HACKER,$500.0,PERMIT UNLICN HACKER
191,P331,TINTED WINDOWS,$50.0,TINTED WINDOWS
192,P332,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1,$250.0,ABND VH PUB/PRV PRP1
193,P333,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 2,$500.0,ABND VH PUB/PRV PRP2
194,P334,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 3,$1000.0,ABND VH PUB/PRV PRP3
195,P335,ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT,$350.0,ABNVH PUB/PRV PR SW1
196,P336,ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT,$600.0,ABNVH PUB/PRV PR SW2
197,P337,ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT,$1100.0,ABNVH PUB/PRV PR SW3
198,P338,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 1,$250.0,DANG VH PUB/PRV PRP1
199,P339,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 2,$500.0,DANG VH PUB/PRV PRP2
200,P340,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 3,$1000.0,DANG VH PUB/PRV PRP3
201,P341,DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 1,$350.0,DNGVH PUB/PRV PR SW1
202,P342,DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 2,$600.0,DNGVH PUB/PRV PR SW2
203,P343,DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 3,$1100.0,DNGVH PUB/PRV PR SW3
204,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,$250.0,VEH PRI PROP W/O CST
205,P346,VALET PARKING/STAGING ZONE,$100.0,VALET PARKING  ZONE
206,P360,COMMERCIAL MOTOR VEHICLE - OUT OF SERVICE,$100.0,CMV-OUT OF SERVICE
207,P361,COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE,$100.0,CMV - NOT OUT SERVIC
208,P362,METER ADD'L PAYMENT TO EXTEND TIME BEYOND LIMIT BZ,$15.0,MTR  EXTEND TIME BZ
209,P363,RESIDENTIAL PMT PKG  2ND OFFENSE CALENDAR YEAR,$30.0,RPP 2ND OFF CAL. YR
210,P364,METER ILLEGAL PARKING IN BALLPARK ZONE,$25.0,MTR ILLEGAL PRK BPRK
211,P365,RESIDENTIAL PMT PKG 3RD OFFENSE  CALENDAR  YEAR,$60.0,RPP 3RD OFF. CAL. YR
212,P366,FAIL TO DISPLAY MULTI-SPACE PARKING METER RCPT BZ,$50.0,NO MULTI SPACE RCPT
213,P367,RESIDENTIAL PMT PKG  BALLPARK ZONE 2ND OFF CAL YR,$30.0,RPP BALLPK ZN 2D OF
214,P368,METER FAILURE TO DEPOSIT PAYMENT BALLPARK ZONE,$25.0,METER FAIL DEP PYMT
215,P369,RPP BALLPARK ZONE 3RD OFFENSE CALENDAR YEAR,$60.0,RPP BALLPK ZN 3D OFF
216,P370,FAILURE TO DISPLAY MULI-SPACE RECEIPT PROPERLY BZ,$50.0,IMPROP DISPLAY MTR
217,P371,FAIL DISPLAY MULTI SPACE RECEIPT PROPERLY BE,$100.0,MTR IMPROP DISP RCPT
218,P372,DISPLAY  METER RCPT FROM MTR OUTSIDE AREA BZ,$30.0,WRONG MTR RCPT
219,P373,NOT PARKED IN PARKING METER SPACE BZ,$25.0,NOT IN METERED SPACE
220,P374,DISPLAY METER RECEIPT FROM MTR OUTSIDE AREA BE,$60.0,WRONG MTR RECEIPT
221,P376,NO RED FLAG ON THE END OF A LOAD,$25.0,LOAD NO RED FLAG/END
222,P385,STOPPING STANDING OR PARKING VEHICLE IN BIKE LANE,$65.0,STOP/STAND BIKE LANE
223,P386,RELOCATE TOW FEE,$100.0,RELOCATION TOW
224,P387,NOT PARKED IN PARKING METER SPACE  BE,$50.0,NOT PARK METER SPACE
225,P388,OBTAIN ADD METER RCPT FOR VEH TO EXTEND TIME  BZ,$30.0,ADD MTR RECPT
226,P389,OBTAIN ADD MTR RCPT FOR VEH TO EXTEND TIME BE,$60.0,ADD MTR RCPT BE
227,P390,OVERSIZED VEHICLE AT METER BZ,$25.0,OVERSIZE VEH MTR BZ
228,P391,RPP BALLPARK EVENTS 2ND OFFENSE CALENDAR YEAR,$60.0,RPP BE 2D OFF CAL YR
229,P392,OVERTIME AT METER BZ,$25.0,OVERTIME AT MTR BZ
