,code,desc,fine,shortDesc
449,T292,BLOCKING/BRACING AND SECURING HM,$250.0,SECURE HM
450,T293,NO EMERGENCY RESPONSE TELEPHONE NUMBER,$100.0,NO EMERG RESP NUMBER
451,T295,NO HAZARDOUS WASTE MANIFEST,$100.0,NO HM MANIFEST
452,T297,UNAPPROVED ADVERTISEMENT IN OR ON VEHICLE FOR HIRE,$250.0,UNAPPRVD AD VEH HIRE
453,T299,FAIL TO HAVE INSURANCE TAXI/VEHICLE FOR HIRE,$500.0,FAIL TO HVE INS
454,T300,PROHIBITED/PERMISSIVE PLACARDING,$100.0,PROHIBITED PLACARD
455,T333,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,$30.0,FL TO DISP INSURANCE
456,T334,TURN RIGHT ON RED WITHOUT COMPLETE STOP,$50.0,FAIL CMPL STOP RONRD
457,T335,FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING,$150.0,FAIL CONTROL SPEED
458,T336,GREATER VEHICLE WIDTH THAN PERMITTED,$100.0,GRTR WIDTH THAN PERM
459,T337,UNLICENSED NON-DC LIMOUSINE OPERATOR,$500.0,NONDC OP LIMO NO LIC
460,T338,OPERATE TAXICAB WITHOUT ID CARD,$500.0,OPER CAB NO ID CARD
461,T339,OVERHEIGHT VEHICLE,$250.0,OVERHEIGHT
462,T340,DRIVE TRUCK WITH RESTRICTED PERMIT,$50.0,TRUCK PRMT RESTRICT
463,T341,UNAUTHORIZED ITEM ON WINDOW MIRROR OR FRAME,$15.0,UNAUTH ITEM ON WINDO
464,T342,UNAUTHORIZED TRAFFIC CONTROL DEVICE,$50.0,UNAUTH TRAF CNTL DEV
465,T343,UNSAFE BUMPER,$75.0,UNSAFE BUMPER
466,T344,OVERWEIGHT UP TO 5000 POUNDS OVER LIMIT,$250.0,UPTO 5000 LB OVR LMT
467,T345,VIOLATION OF TUNNEL RESTRICTIONS,$250.0,VIOL TUNNEL RESTRICT
468,T346,UNLICENSED  DC  OPERATOR,$1000.0,DC OP NO LICENSE
469,T347,UNLICENSED DC OPERATOR,$1000.0,UNLICENSED DC OPR
470,T348,HITCHING A RIDE ON A VEHICLE,$25.0,HITCHING ON VEHICLE
471,T349,IMPROPERLY RIDING ON VEHICLE,$100.0,IMPROP RIDING ON VEH
472,T350,NO FENDER(S) OR BUMPER(S),$25.0,NO FENDER(S)
473,T351,UNLICENSED NON-DC OPERATOR,$1000.0,UNLICENSE NON DC RES
474,T352,FAIL TO USE RUNNING LIGHT(S),$25.0,FAIL USE RUNING LGHT
475,T362,CDL OUT-OF-SERVICE VIOLATION,$100.0,CDL - OUT OF SERVICE
476,T363,CDL NOT-OUT-OF-SERVICE VIOLATION,$100.0,CDL - NOT OUT SERVIC
477,T364,HAZMAT OUT-OF-SERVICE VIOLATION,$100.0,HAZMAT OUT OF SERVIC
478,T365,HAZMAT NOT-OUT-OF-SERVICE VIOLATIONS,$100.0,HAZMAT NOT OUT SERVC
479,T366,WORK ZONE VIOLATION - FINE DOUBLES,$1000.0,CNSTRTN ZN FN DBL
480,T367,SCHOOL ZONE VIOLATION - FINE DOUBLES,$1000.0,SCHOOL ZONE FINE DBL
481,T400,UNREGISTERED VEHICLE 30 DAYS OR LESS,$100.0,UNREG VEH 30 DAYS
482,T404,UNREGISTERED VEHICLE MORE THAN 30 DAYS,$200.0,UNREG. VEH > 30 DAYS
483,T405,FAIL TO COMPLY - PERSONAL ANIMAL,$50.0,FAIL CMPLY PERS ANIM
484,T406,FAIL TO COMPLY SERVICE ANIMAL,$100.0,FAIL CMPLY SERV ANIM
485,T501,DRIVE THROUGH A FUNERAL PROCESSION,$25.0,DRIVE THRU FUNERAL P
486,T502,FAIL TO KEEP RIGHT IN A FUNERAL PROCESSION,$15.0,FUNERAL N/KEEP RIGHT
487,T503,UNLICENSED LIMOUSINE OPERATOR,$500.0,UNLICSD VEH LIMO
488,T504,LIMOUSINE OWNER PERMITTING UNLICENSED OPERATOR,$500.0,OWNR PRMT UNLIC LIMO
489,T505,UNLICENSED LIMOUSINE OPERATOR,$500.0,UNLICD LIMO DRIVER
490,T509,DRIVING OVER LAWN,$25.0,DRIVING OVER LAWN
491,T511,ILLEGAL HEADLIGHT(S),$75.0,ILLEGAL HEADLIGHT
492,T512,DEALER VEHICLE WITHOUT REGISTRATION,$50.0,DEAL VEHIC W/O REGIS
493,T513,DRIVING INSTRUCTOR WITHOUT LICENSE,$50.0,DRIVING INST W/O LIC
494,T514,OPERATE SCHOOL BUS WITHOUT PERMIT,$20.0,OPER SCHBUS W/O PMT
495,T515,SMOKE SCREEN,$50.0,SMOKE SCREENS
496,T516,TAMPER WITH LOCKED BICYCLE,$5.0,TAMP W/LOCKED BICYCL
497,T517,UNAUTHORIZED USE OF EMERGENCY PARKING PERMIT,$50.0,UNAUTH U/EMER PK PMT
498,T518,PERMIT OPERATION OF AN UNSAFE VEHICLE,$25.0,PMT OPER UNSAF VEHIC
499,T519,OPERATING UNSAFE PUBLIC VEHICLE FOR HIRE,$100.0,OPER UNSAFE VEH HIRE
500,T523,PASSING IN AN INTERSECTION,$25.0,PASSING AT INTERSECT
501,T524,PASSING ON A CURVE,$25.0,PASSING ON CURVE
502,T525,PASSING WITH AN OBSTRUCTED VIEW,$25.0,PASSING VIEW OBSTRUC
503,T526,SPEEDING TO PREVENT A VEHICLE FROM PASSING,$50.0,SPEED TO PREV PASSIN
504,T527,PEDESTRIAN WALK AGAINST A RED TRAFFIC SIGNAL,$20.0,PED WALK AGNST RED
505,T528,PEDESTRIAN WALKING SO AS TO CREATE A HAZARD,$5.0,PED CREATE HAZARD
506,T529,PEDESTRIAN FAIL TO YIELD TO EMERGENCY VEHICLE,$10.0,PED N/YIELD TO EMERG
507,T530,FAIL TO HAVE MOTORCYCLE PERMIT,$50.0,MOTORCYCLE NO PERMIT
508,T531,MOTORCYCLE PASSING IN TANDEM,$15.0,MOTCYCL 2 PASS N/TAN
509,T533,FAIL TO GIVE SIGNAL,$25.0,FAIL TO GIVE SIGNAL
510,T535,DISREGARD SLOW SIGN,$25.0,DISREGARD SLOW SIGN
511,T539,VIOLATION OF RESTRICTION ON LEARNER'S PERMIT,$100.0,VIOL REST LERNER PMT
512,T542,IMPROPER USE OF DEALER TAG(S),$50.0,IMP USE DEALER TAGS
513,T555,VIOLATION OF TOWING REGULATIONS,$100.0,VIOL TOWING REG
514,T556,TOWING WITHOUT SAFETY CHAIN,$100.0,TOW REG N/SAFTY CHAN
515,T559,VIOLATION OF NO TURN SIGN,$25.0,TURN VIOL TURN SIGN
516,T560,UNAPPROVED VEHICLE OPERATOR,$20.0,UNAPPROV AUTO OPER
517,T561,PERMIT VEHICLE USE BY UNAUTHORIZED OPERATOR,$20.0,PERMT OPER UNAPP AUT
518,T562,MOTORCYCLE/ MOTOR DRIVEN CYCLE IMPROPER RIDING  ON,$100.0,IMPROPER RIDING
519,T563,PERMIT PASSENGER TO RIDE ON VEHICLE,$25.0,PERMT PASS RID ON VE
520,T564,OPERATE VEHICLE WITH DOORS OPEN,$25.0,OPER W/DOORS OPEN
521,T567,PASSING APPROACHING FIRE APPARATUS,$100.0,PASS/APPRCH FIRE APP
522,T571,IMPROPER TURN,$100.0,IMPROPER TURN
523,T575,FAIL TO OBEY DON'T WALK OR WAIT TRAFFIC SIGNAL,$20.0,DONT WALK/WAIT
524,T576,FAIL TO OBEY TRAFFIC SIGNAL IN CROSSWALK,$10.0,TRF SIGNAL/CROSSWALK
525,T577,PEDESTRIAN LEAVING CURB IN UNSAFE MANNER,$10.0,PED/LEAVE CURB UNSAF
526,T578,DIAGONAL CROSS AT INTERSECTION DISOBEYING SIGNAL,$20.0,DIAG CROSS DISOB SIG
527,T579,CROSSING AN INTERSECTION DIAGONALLY,$10.0,CROSS INTERSCT DIAG
528,T580,WALK IN ROADWAY WHERE SIDEWALK IS PROVIDED,$10.0,WALKING IN (SIDEWK)
529,T581,WALK ON WRONG SIDE OF STREET,$10.0,WALK ON WRONG SIDE
530,T583,PARADING WITHOUT A PERMIT,$50.0,PARADING W/O PERMIT
531,T585,COLLIDING WITH PEDESTRIAN,$500.0,COLLIDE W/PED
532,T590,DISTRACTED DRIVING,$100.0,DISTRACTED DRIVING
533,T591,DISTRACTED DRIVING USING CELL PHONE OTHER DEVICE,$100.0,CELL PHNE OTH DEVICE
534,T592,DISTRACTED DRIVING WHILE OPERATING SCHOOL BUS,$100.0,DIST DRVR SCHL BUS D
535,T600,FAIL TO OBEY OFFICER'S ORDERS,$15.0,FAIL OBEY OFFICER
536,T601,FAIL TO ABIDE BY PARADE PERMIT RESTRICTIONS,$25.0,PARADE PMT N/ABID RE
537,T602,DISPLAY FAKE INSPECTION STICKER,$25.0,DISP FAKE INSP STICK
538,T603,REMOVE INSPECTION STICKER,$10.0,REMOVE INSPECT STICK
539,T604,TAXICAB FAIL TO EXHIBIT ID CARD,$100.0,TAXI N/EXHIB ID CARD
540,T605,UNLICENSED VEHICLE NON-DC RESIDENT,$1000.0,UNLIC VEH NON DC RES
541,T607,BIKE/PMD FAIL YIELD ROW TO PED SIDEWALK/CROSSWALK,$25.0,PMD FAIL YLD ROW PED
542,T609,RIDE BIKE/PMD  SIDEWALK  CENTRAL BUSINESS DISTRICT,$25.0,RIDE PMD ON SIDEWLK
543,T610,RIDE TWO ON A BICYCLE,$25.0,RIDE 2 ON BIKE
544,T613,BIKE GIVE FALSE INFORMATION,$5.0,BIKE GIVE FALSE INFO
545,T614,BIKE IMPROPER EQUIPMENT,$25.0,BIKE IMP EQUIPMENT
546,T615,BIKE MOUNTING RACK VIOLATION,$25.0,BIKE MOUNT RAK VIOL
547,T616,IMPROPERLY SECURING BIKE,$25.0,BIKE IMPROPER SECUR
548,T617,NOT RIDING ON THE SEAT OF A BIKE,$25.0,BIKE N/RIDE ON SEAT
549,T618,PMD CARRY OBJECTS THAT HINDERS USE OF HANDLEBARS,$25.0,PMD CARRY OBJ IN HAN
550,T619,BIKE VIOLATION SOUNDING WARNING DEVICE,$25.0,BIKE SOUND WARN DEVC
551,T622,BIKE OR UNAUTHORIZED DEVICE ON THE HIGHWAY,$5.0,BIKE UNAUTH DEV HWAY
552,T623,OPERATE PMD WITH  EARS COVERED,$25.0,OPER PMD W/EAR COVER
553,T624,COMMERCIAL VEHICLE SPILT LOAD,$150.0,COMM VEH SPILL LOAD
554,T625,COMMERCIAL VEHICLE OPERATING WHILE IN PARK,$25.0,COMM VEH OPER I/PARK
555,T626,EXCESSIVE IDLING,$500.0,EXCESSIVE IDLING
556,T627,OPERATING WITH A TORN FENDER,$25.0,OPER W/TORN FENDER
557,T629,INAUDIBLE OR NO HORN,$15.0,HORN INAUD/NONE
558,T630,UNNECESSARY NOISE FROM HORN,$25.0,HORN UNNECES NOISE
559,T632,EXPIRED INSPECTION STICKER,$50.0,EXPIRED INSP STICK
560,T633,FAIL TO REPORT FOR INSPECTION,$50.0,FAIL REPT TO INSPECT
561,T634,FAIL TO REPLACE INSPECTION STICKER,$50.0,INSP FAIL REPL STKR
562,T635,LENGTH OVER 40'/55',$250.0,LENGTH OVR 40'/55'
563,T636,IMPROPER LIGHT(S),$75.0,LIGHTS IMPROPER
564,T637,NO REAR LIGHTS,$75.0,NO REAR LIGHTS
565,T638,NO STOP LIGHT(S),$75.0,NO STOP LIGHTS
566,T639,ONE RUNNING LIGHT,$75.0,ONE RUNNING LIGHT
567,T640,OPERATING HIGH BEAM LIGHTS,$75.0,LIGHTS OPER W/HIGH B
568,T641,FAIL TO SECURE TRASH LOAD,$250.0,LOADS N/SECUR TRASH
569,T642,FAIL TO SECURE SHIPPING CRATE LOAD,$25.0,LOADS N/SEC SHIP CRA
570,T643,LOAD OVER FENDER(S),$250.0,LOADS OVER FENDERS
571,T644,LOAD OVER 8 FEET WIDE,$250.0,LOAD OVER 8' WIDE MV
572,T645,NO RED FLAG ON END OF LOAD,$250.0,LOAD NO RED FLAG END
573,T646,NO REAR VIEW MIRROR ON MINIBIKE,$25.0,MINIBIKE N/REAR VIEW
574,T647,NO REAR VIEW MIRROR(S),$75.0,MIRRORS NO REAR VIEW
575,T649,LEAVING A MOTOR RUNNING UNATTENDED,$25.0,MOTOR RUNNING UNATT
576,T651,DEFECTIVE MUFFLER,$15.0,MUFFLER DEFECTIVE
577,T652,NO MUFFLER ON VEHICLE,$25.0,MUFFLER NONE ON VEHI
578,T653,UNNECESSARY NOISE,$25.0,UNNECESSARY NOISE
579,T654,VIOLATION OF ONE WAY STREET RESTRICTION,$100.0,ONE WAY ST VIOL OF
580,T655,FAIL TO CHANGE ADDRESS ON PERMIT,$50.0,PERMIT N/ADDRESS CHG
581,T656,CANCELLED SUSPENDED REVOKED OR ALTERED PERMIT,$50.0,PERMIT ALTER/INVALID
582,T657,FAIL TO CHANGE ADDRESS ON REGISTRATION,$10.0,REG FAIL CHG ADDRESS
583,T658,FAIL TO EXHIBIT REGISTRATION,$50.0,REG FAIL TO EXHIBIT
584,T659,UNAUTHORIZED USE OF SIREN,$50.0,SIREN UNAUTHRIZE USE
585,T660,EXCESSIVE SMOKE,$50.0,SMOKE EXCESSIVE
586,T661,NO SNOW TIRE OR CHAIN,$100.0,SNOW TIRE/CHAIN NONE
587,T662,DEFECTIVE SPEEDOMETER,$75.0,SPEEDOMETER DEFECTIV
588,T663,NO SPEEDOMETER,$75.0,SPEEDOMER NONE
589,T664,OPERATING STEAM SHOVEL DURING RESTRICTED HOURS,$10.0,STEAM SHOVEL RES HRS
590,T665,FAIL TO APPLY DC TAG,$500.0,NO DC APP TAG
591,T666,POORLY ILLUMINATED TAGS,$50.0,TAGS POOR ILLUMIN
592,T667,DEAD OR EXPIRED TAGS,$100.0,TAGS DEAD
593,T668,FAIL TO HAVE DC TAGS,$100.0,TAGS NO DC
594,T669,FAIL TO TURN IN DC TAGS,$100.0,TAGS FAIL TURN IN DC
595,T670,FAIL TO SECURE DC TAGS,$100.0,TAGS FAIL SECURE DC
596,T671,PERMIT USE OF EXPIRED TAGS,$100.0,PMT USE OF DEAD TAGS
597,T672,FAIL TO DISPLAY CURRENT TAGS,$100.0,TAGS FAIL DISP CURR
598,T673,LOANING TAGS,$50.0,TAGS LOANING
599,T674,ALTERED TAGS,$100.0,TAGS ALTERED
600,T675,TAXICAB DOME LIGHT,$100.0,TAXI DOME LIGHT
601,T676,DIRTY TAXICAB,$100.0,TAXI DIRTY
602,T677,FAIL TO CHANGE INFORMATION,$100.0,FAIL CHANGE INFO
603,T678,FAIL TO REMOVE ID FROM TAXICAB,$50.0,TAXI FAIL RMV ID CAB
604,T679,LOITERING TAXI OR LIMO,$50.0,LOITERING TAXI/LIMO
605,T680,FAIL TO KEEP TAXICAB MANIFEST,$50.0,TAXI MANFST FAIL KEP
606,T681,FAIL TO REPORT PROPERTY LEFT IN A TAXICAB,$25.0,TAXI PROP LEFT N/RPT
607,T682,SOLICITING FARES FOR A TAXICAB,$50.0,TAXI SOLICITNG FARES
608,T684,FAIL TO PULL TAXICAB TO THE CURB,$50.0,TAXI NO PULL TO CURB
609,T686,REFUSING TO HAUL PASSENGERS IN A TAXICAB,$500.0,REFUSE TO HAUL PASS
610,T687,UNLICENSED VEHICLE DC RESIDENT,$1000.0,UNLIC VEH DC RESIDNT
611,T688,FAIL TO DISPLAY OFF DUTY SIGN IN A TAXICAB,$100.0,TAXI N/DISP OFF DUTY
612,T689,IMPROPER USE OF THE OFF DUTY SIGN IN A TAXICAB,$100.0,TAXI IMP USE OFFDUTY
613,T690,IMPROPER USE OF THE ON CALL SIGN IN A TAXICAB,$100.0,TAXI IMP USE ONCALL
614,T691,IMPROPER USE OF AN OUT OF SERVICE SIGN IN A TAXI,$100.0,TAXI IMP USE OUT SVC
615,T692,UNAUTHORIZED SIGNS IN A TAXICAB,$100.0,TAXI UNAUTH SIGNS
616,T693,NOT CHARGING THE PROPER FARE IN A TAXICAB,$150.0,TAXI N/CHG PROP FARE
617,T694,FAIL TO DISPLAY PSC LICENSE IN TAXICAB,$10.0,TAXI N/DISP PSC LIC
618,T696,FAIL TO EXHIBIT DCTC TO HACK INSPECTOR OR POLICE,$50.0,TAXI N/EXHIBIT  DCTC
619,T697,FAIL TO HAVE PROPER INSIGNIA FOR TAXICAB,$25.0,TAXI N/HAV PROP INSG
620,T698,FAIL TO REPORT ACCIDENT INVOLVING A TAXICAB,$100.0,TAXI N/RPT ACCIDENT
621,T699,IMPROPER PSC LICENSE,$25.0,TAXI SIGN IMP PSC LI
622,T700,LOADING TAXICAB PASSENGERS IN A CROSSWALK,$50.0,TAXI LOAD PASS XWALK
623,T701,REFUSING TO PAY A TAXICAB FARE,$25.0,TAXI REFUS PAY FARE
624,T702,UNSAFE TIRE(S),$100.0,TIRES UNSAFE ETC
625,T703,FAIL TO TRANSFER DC TITLE,$25.0,TITLE DC FAIL TRANSF
626,T705,VIOLATION OF THE CHILD RESTRAINT ACT,$75.0,VIOL CHILD REST ACT
627,T706,OPERATING AN UNSAFE TAXI,$100.0,OPER UNSAFE VEH TAXI
628,T710,TRUCK RESTRICTED ROUTE,$150.0,TRUCK REST ROUTE
629,T711,OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH,$500.0,OPER. UNIS. VEHICLE
630,T712,EXPIRED PERMIT 90 DAYS,$15.0,EXP. PERMIT -90 DAYS
631,T713,SEAT BELT REGULATION VIOLATION,$50.0,SEAT BELT REGULATION
632,T714,HUB CAP REGULATION,$25.0,HUB CAP REGULATION
633,T715,SEAT BELT REGULATION MULTIPLE VIOLATIONS,$50.0,SEAT BELT REG MULTI
634,T740,FAIL TO FILE AN ACCIDENT REPORT,$100.0,NOT FILE ACCIDNT RPT
635,T741,FAIL TO FILE OR INCOMPLETE ACCIDENT REPORT,$50.0,ACCIDNT RPT INN/INCO
636,T742,FAIL TO DISPLAY CURRENT INSPECTION STICKER,$50.0,FAIL DISP CURR INSPC
637,T743,OPERATING VEHICLE WITH CONDITIONAL INSPECTION,$100.0,INSPECT OPER W/COND
638,T744,ILLEGIBLE TAGS,$50.0,TAGS ILLEGIBLE
639,T745,NO FRONT TAGS,$50.0,NO FRONT TAGS
640,T746,NO REAR TAGS,$50.0,NO REAR TAGS
641,T747,OBSTRUCTED TAGS,$50.0,TAGS OBSTRUCTED
642,T748,FAIL TO PROPERLY AFFIX REGISTRATION STICKERS,$50.0,REGTR FAIL PROP AFFX
643,T749,DRIVING ON MEDIAN OR CHANNELIZING TRAFFIC ISLAND,$100.0,MEDIAN CHANNEL IS/SZ
644,T750,HIGH OCCUPANCY VEHICLE VIOLATION,$25.0,HOV VIOLATION
645,T751,OVERTAKING VEHICLE STOPPED AT XWALK FOR PEDESTRIAN,$250.0,PASS VEH STOP PED
646,T755,FAIL TO OBEY CIVILIAN TRAFFIC OFFICER,$50.0,FAIL OBEY CIVILIAN
647,T756,FAIL TO DISPLAY PASSENGER RIGHTS FORM IN TAXICAB,$25.0,NO PASS RIGHT FORM
648,T758,VIOLATION OF TINTED WINDOWS REGULATIONS,$50.0,TINTED WINDOWS
649,T759,FAIL TO YIELD RIGHT OF WAY TO PEDESTRIAN,$75.0,FL TO YLD ROW TO PED
650,T760,NO PERMIT PAST EXPIRATION DATE PLUS 90 DAYS,$75.0,NO PERMIT/EXP-90 DAY
651,T761,IMPROPER AIR CONDITIONING,$125.0,IMPROPER AIR CONDITN
652,T762,IMPROPER HEATING,$125.0,IMPROPER HEATING
653,T763,TINTED WINDOW VIOLATION FAIL TO COMPLY 1,$1000.0,TINT WNDW FAIL COMP1
654,T764,TINTED WINDOW VIOLATION FAIL TO COMPLY 2,$5000.0,TINT WNDW FAIL COMP2
655,T765,LITTERING FROM VEHICLE ON PRIVATE/PUBLIC PROPERTY,$100.0,LITTERING FROM VEH
656,T766,FAIL OR REFUSE TO FOLLOW POLICE OFFICER DIRECTION,$50.0,FAIL OBEY POLICE OFF
657,T768,LANE IMPROPER USE OF RESTRICTED,$100.0,LANEIMP USE RESTRIC
658,T778,IMPROPER CLASS LICENSE,$50.0,IMPROP CLASS LICENSE
659,T779,OPERATING VEHICLE LEARNER PERMIT NO LICENSE,$50.0,OP VEH LRN PMT/NOLIC
660,T780,TURNED OFF HEADLIGHTS,$25.0,TURN OFF HEADLIGHTS
661,T782,FAIL TO YIELD TO PEDESTRIAN ON SIDEWALK,$250.0,FAIL YIELD PED SDWLK
662,T786,LESS THAN 18 YRS OLD PASSENGER RESTRAINT VIOL,$50.0,LT18 PASSNGER RESTRT
663,T787,LESS THAN 18 YRS OLD MANDATORY SEAT BELT VIOL,$50.0,LT18 SEAT BLT MANDRY
664,T788,LESS THAN 18 YRS OLD NIGHT RESTRICTION,$50.0,LT18 NIGHT RESTRCTN
665,T789,LESS THAN 18 YRS OLD COMPNSTN RESTRT,$50.0,LT18 COMPNSTN RESTRT
666,T790,PROVISIONAL PERMIT PASSENGER RESTRICTION,$50.0,PROV PERM-PASS RESTR
667,T791,PROVISIONAL PERMIT NIGHT RESTRICTION,$50.0,PROV PERM NIGHT REST
668,T792,LEARNER'S  PERMIT  AGE RESTRICTION,$50.0,LEARN PERM AGE RESTR
669,T800,FAILURE TO HAVE FACE CARD WITH VEHICLE,$500.0,NO FACE CARD W/ VEH
670,T801,DCTC  POSSESS  COUNTERFEIT OR ALTERED COPY,$1000.0,COUNTERFEIT  DCTC
671,T802,PROPERTY FAIL TO DEPOSIT ITEMS W/ DCTC,$100.0,PROPERTY FAIL TO DE
672,T803,TAXI  UNLAWFUL ACTIVITES,$500.0,TAXI UNLAWFUL ACTS
673,T805,FAIL TO SHOW PROOF OF TAXICAB INSURANCE,$100.0,FAIL SHOW TAXI  INS
674,T806,RIGHT TURN ON RED FAIL  YIELD  PEDESTRIAN/VEHICLE,$50.0,RT ON RED FAIL YLD
675,T807,MOTORZED BIKE OPERATING IN EXCESS OF 20  MPH,$100.0,MTR BIKE SPEED > 20
676,T808,MOTOR DRIVEN CYCLE SPEED OPERATING >30 MPH,$100.0,MTR DRIVE CYCLE >30
677,T809,COLLIDE WITH PERSON OPERATING A  BICYCLE,$500.0,COLLIDE W BICYCLIST
678,T810,FAILURE TO YIELD RIGHT OF WAY TO A BICYCLIST,$75.0,FAIL YLD ROW  BICYCL
679,T812,BIKE NO WARNING DEVICE,$25.0,BIKE NO WARNING DEVI
680,T813,USE OF HANDHELD MOBILE TELEPHONE IN CMV,$100.0,MOBILE PHONE IN CMV
681,T814,TEXTING IN COMMERICAL MOTOR VEHICLE,$100.0,TEXTING IN CMV
682,T913,OPERATING WITHOUT SPECIAL VEHICLE FOR HIRE PERMIT,$500.0,NO SPEC VEH FOR HIRE
683,T914,FAIL TO DISPLAY INTERNATIONAL NO SMOKING SYMBOL,$25.0,FAIL DISP NO SMOKING
684,T915,CELL PHONE USE WHILE OPERATING VEHICLE,$100.0,CELL PHONE USE TAXI
